frame_number,ID,LT,RB,score
3911,4,"(633, 192)","(822, 435)",0.14
3912,4,"(632, 190)","(822, 435)",0.14
3913,4,"(632, 190)","(823, 434)",0.14
3914,4,"(632, 190)","(823, 434)",0.14
3915,4,"(633, 186)","(824, 429)",0.15
3916,4,"(635, 190)","(820, 426)",0.13
3917,4,"(635, 184)","(825, 429)",0.15
3918,4,"(634, 184)","(824, 428)",0.14
3937,4,"(628, 172)","(822, 421)",0.14
3938,4,"(625, 171)","(823, 424)",0.14
3939,4,"(625, 170)","(823, 424)",0.15
3940,4,"(622, 166)","(821, 423)",0.16
3941,4,"(620, 166)","(820, 422)",0.15
3942,4,"(621, 166)","(819, 420)",0.15
